,0
今天,-219.64045442722318
继续,-76.86655709392653
大盘,-266.5625140288066
明天,-157.5465657384966
指数,-235.2766875191287
股市,-332.9793577834387
A,-236.74767121526725
股票,-231.00305655564102
个股,-319.2111681276622
中国,-16.088045363234414
市场,-115.84614656206134
行情,-151.7860964528486
资金,-197.70975609013317
现在,-319.3135747367455
说,-295.8641066622787
券商,-150.17191739149985
下午,-279.40559646293104
线,-58.20607203620898
昨天,-277.7156820595171
散户,-464.72726643139333
机构,-314.8848258242348
已经,-242.092566603225
银行,-156.1262329456913
主力,-329.1342334848331
今日,111.93206228504789
创业板,-120.92990337804918
板块,86.56885378822301
转发,16.92252075643613
走势,-203.0915717988047
震荡,24.633529433622357
上证指数,84.39194098711039
收盘,-18.712448576555175
基金,-247.412887950798
知道,-340.18906510235627
应该,-29.76055541888934
尾盘,-232.9021840307339
美股,-251.165069144621
科技,116.23353225387541
今年,-50.797627488509306
开盘,-167.4488734172769
可能,-176.47012730034976
钱,-452.79996876272185
上证,-75.5982787347358
炒股,-193.75585934204952
最后,-205.17034434026175
周一,-165.90184330900684
3月,88.68706808146086
目前,52.64839555715059
证券,11.573895104998542
建筑,115.98838285760772
股份,203.47180428480613
感觉,-328.26225549987953
北向,-286.24291404709726
真的,-356.47251383014463
分析,13.432450510038848
准备,-235.40321925101262
时间,-177.68536922041505
结束,-148.61027511253508
趋势,-38.53509025613346
价值,-21.50319191807563
股指,-225.36139448729705
估计,-380.3856024401278
每天,-378.0259224569777
公司,-16.28930285465242
外围,-241.51609979193375
周五,-137.56363053177415
预测,12.408647238966523
业绩,88.60577196557972
外资,-216.22964484905452
上午,-279.08619202317425
股价,-109.60210840050274
出现,-81.85050743829822
连续,-99.57145252146415
股民,-315.99908744214736
成交量,-233.01970693269755
酒,-317.8392319347863
金融,-66.7286853445512
技术,37.77247088914589
直接,-298.357282386429
马上,-159.41212238600292
主板,-223.3486754430415
最近,-216.2716399507566
看来,-338.44029340146903
左右,-94.06423572090864
周四,-191.0915129235122
看到,-205.10689201525304
期货,-254.16000955264792
交易,-179.79917895828032
全球,-75.78406118768385
目标,128.6816244253228
附近,52.82909830009203
开启,-30.09547888862744
概率,-26.925436924991573
保险,-201.69552626215471
军工,166.00327865004857
黄金,60.072345562073
进场,-170.86119234192745
持续,91.86718196936624
是不是,-358.79004970700737
未来,222.58439755787106
即将,25.365028179379806
影响,-84.7829919091734
有点,-363.14387348845787
底部,128.63501995956506
明日,28.83379910983183
周末,4.84912255273241
需要,35.547670844738605
情况,-202.33136151654082
北上,-232.60224306260545
早上,-291.08088745046064
建议,-93.63576700461272
英国,-177.83800177789055
明显,-245.83596622586242
不到,-280.1755103661999
盘面,-67.21583209806806
历史,8.840618123979539
策略,94.3111077198306
节奏,-288.77845417136695
筹码,-137.51585164295352
以后,-246.13692191399548
启动,205.55086984347975
再次,26.46847489636764
基本,-125.67564223386887
其实,-215.71240193062863
仓位,-147.12001240411325
消息,-54.28125428758892
压力,-16.248140851741084
价格行情,0.32917936217973676
三大,71.270650191026
节后,-2.432107901774657
近期,10.63794845040968
涨跌,-209.8035756553785
经济,78.00805288307208
大幅,-120.43040265338027
最大,-102.12550449774432
美国,-105.86989679415285
预期,161.70924654344884
觉得,-159.37564603684314
年底,-191.77478673303858
每次,-339.4610455731391
碳,153.3172992730053
节前,-171.90318226554632
投资者,-128.81591820567337
方向,19.87920903310919
市值,19.888271690119893
行业,213.29167193485983
之前,-142.62214119329394
世界,-111.99817719773432
过年,-249.287454640821
高点,-141.58542191159256
表现,51.319244931668095
港股,-137.72114284376124
以下,-109.31444942398173
国家,-250.86613519458263
难道,-307.2802323705747
位置,-131.2712885093722
概念,134.13656294474623
空间,90.64823811963998
热点,25.812241904639052
一起,-182.67770895266858
昨日,28.269300099981137
选择,-74.7214305726751
交易日,-17.478244173944404
K,-52.45053403768247
复盘,103.8640485246047
医药,155.90640077524648
9月,20.07711953135788
持仓,-60.722621023603494
周期,175.32929454529875
之后,-76.90806616364932
太多,-358.04641172645137
星期四,-224.46310122986353
重要,83.97226609979504
下周一,-33.39008105199662
盘中,-86.84348209923326
7月,-38.117041120447084
汽车,195.81434694458864
企业,110.4408669776808
6月,42.79400536985435
反转,110.14441699207941
绝对,-80.77767691854592
原因,-198.12489824981134
告诉,-164.37438624071035
认为,-6.842514914339745
形成,-91.72805494972965
提前,-102.3647045251555
坚决,-215.11263028641815
小时,-172.40625608803276
欧美,-220.53708154599923
比较,-37.86826533806459
发展,247.65338619791027
集体,-66.35082641133852
去年,-194.30004265777666
收益,49.65367138686361
年前,-167.5959571184476
东方,244.2210519679133
非常,-52.10368056561765
模式,-198.2420469556909
后面,-185.71703388869832
意思,-441.6876119809666
成交,-405.6709870508297
朋友,-54.87236699352627
是否,17.57236803097328
慢慢,-280.35244598324203
真正,-4.706247625720152
点位,-76.4971712930427
发现,-133.19564952976702
8月,59.54675788615782
差不多,-167.47316383995764
12月,51.95910972164205
两市,-12.66535821030061
星期五,-199.46491075741596
午后,69.29888025051935
数据,3.9368904707623074
价格,65.91577195289392
周二,12.836117741831458
今晚,-110.08610262066367
看着,-365.6016664919989
星期一,-169.6657630847862
大部分,-278.8588583063145
多头,-114.65001669391995
级别,-22.31663993433392
周三,-6.809835336562173
说明,-269.87841324469275
理由,-103.88596246178747
反正,-397.70467987281876
居然,-208.58341649113953
预计,112.87184401370206
指标,-114.80991627009519
国内,-74.81843065856316
集团,222.50892446387184
全面,176.1524209794798
进来,-309.8976762496497
超过,-20.064145722575915
形态,43.50931170840113
估值,41.78344736171084
10月,43.262752426566124
上市公司,-46.739817870682884
进去,-370.92591502425284
星期,-388.8201790711312
芯片,149.33945259779614
资产,55.49317084859024
明年,82.25134828318528
煤炭,42.35136133342627
上周,-145.63360884577253
前期,-104.93258188740379
个人,-92.06811169694856
11月,135.485805157644
资本,-26.072652844736012
参考,45.98846681165605
消费,82.44740567973395
加速,-70.02318641849888
2月,107.81072854428646
题材,3.4780770711896594
财富,163.078451078898
走出,26.591830265226747
长期,137.7674772069547
后市,100.0314315986061
接下来,-42.860438722750814
至少,-120.03071472743517
成为,63.82859277014501
迎来,332.9508981326319
能源,205.46327084559675
账户,-129.15263720997353
春节,-47.7263899769531
稀土,209.95266739740376
不断,-79.95119887455962
参与,-175.92123124051494
情绪,-125.6124769913796
跟着,-207.61195515595068
均线,-10.896004196463423
变盘,-17.593244419745247
到位,-64.38833902213275
阶段,-76.98169392277748
生物,140.09430898342396
分享,157.02340978713647
信号,40.26367064756471
完成,108.89143559081845
明白,-191.03685055676806
低价股,18.083715195400487
容易,-263.0303615112791
1月,128.78623540255967
环保,129.6786199014001
上海,125.65367787230775
以前,-250.65626368166522
人民币,-29.99372856051133
关键,44.42313634241452
利润,-47.322699182522115
正在,26.189433509825335
智能,221.00223963357618
观点,159.17665739028496
国际,63.622452917414535
记录,0.46519437801873664
请问,-41.60479109040347
周线,-111.14739832688304
波动,-119.44668196884675
低价,20.621515504352942
科创,70.32252767218876
大盘走势,-83.41087044992202
期指,-249.06874399135444
晚上,-153.45802220824828
数字,158.1137412626153
钢铁,14.950335982880063
效应,-155.7627887107014
后天,-155.5975035182961
决定,-68.67528055980785
发生,-247.97465140794196
完全,-217.3231891999007
人生,-190.3934711887204
计划,15.165566229487013
创业,-355.076098263462
快来,-107.78796364754231
再来,-235.03584028015035
医疗,252.0412344972134
要来,-225.83983265447824
正式,-42.26075725211149
农业,94.48639894152444
当前,19.42293965491075
市盈率,32.20245687775895
昨晚,-46.05515237003749
为主,-113.74798541256268
提醒,-172.39407066665916
整理,114.5690615380862
反复,-125.91433756076822
必然,-101.14084887658942
特别,-102.45051102615719
核心,146.15882106120029
样子,-415.14504172109264
总结,35.7300208748818
每日,33.02165853975592
疫苗,173.87220256706905
全世界,-109.34360474195472
5月,48.63271892905084
好像,-193.19888909564213
中信,-102.66277654945793
改变,-55.229136620898316
时代,99.87639252563798
赶快,-385.96602623184367
公告,-56.135472438075624
判断,49.96642126999103
确定,58.17707210767844
区间,-37.47049302386921
手里,-220.62918253933782
很大,-126.42452409542051
最低,-67.19826216708645
最高,-35.7939147711777
基建,227.979311291439
深港,110.74116013967432
长线,-9.86237659644587
软件,-11.200016005388875
带动,219.76739850435138
下面,-141.57681380725285
评论,-45.35992952299438
里面,-303.34230743475007
帖子,-92.95877877083615
股吧,-192.28031117564046
波段,73.82873232735352
做好,-126.89689503078051
怎么走,-78.14119957180779
装配式,42.62402040962083
实盘,-32.7489640042013
全线,-8.429984344540458
钢材市场,0.0
中午,-108.99199348624205
净资产,-9.901241684697155
股东,-95.95627157515116
控股,16.647774633305232
发布,87.68033536794951
迎接,121.75249540074037
保持,129.7990062069427
日子,-194.66976629821767
电力,216.46668464333771
确认,90.70505337318787
整体,50.049048358090204
分时,-45.43097247081744
准备好,-81.3986745532913
房地产,-1.2960307113293084
日均,4.263376555983086
上周五,-54.68799707563858
进行,-36.22193956237015
快速,-19.13580608324321
事情,-174.12354871338493
来临,-58.109487771629915
逻辑,-31.26934672303537
外盘,-228.67055749105072
养老金,-126.22726268485644
欧洲,-123.30475208888396
回顾,58.78936804025187
原来,-222.8631258395555
到来,-51.64071966320847
观察,41.396176954449516
维持,45.246567675523806
记住,-164.53433146234966
看样子,-186.43258369718131
中信证券,-12.94701646889905
光伏,93.27182399423151
电子,181.43586329152936
白银,101.07633380959368
本金,-91.52654227522248
上方,41.87432041306016
信息,84.9916036642685
速度,-109.70242958035527
显示,1.368936646131374
国庆,-62.98044011943375
制造,-0.7887850598912678
处于,-2.8533844669585733
坐等,-13.214319709958716
原油,-22.050367031378528
关系,-171.2747777001092
刚刚,-181.4657993884764
地产,43.24271154900646
货币,113.80640620823641
天山,-16.08649683304651
自选股,-39.00035932673666
格局,85.96782304289542
全天,60.482977940796786
多空,-0.9702287236003144
收益率,68.00922142720245
延续,109.70891750783142
年内,119.55075134658114
公布,101.38142252843528
心态,-126.07204109971934
老师,-60.41922871317314
属于,-63.78791288420837
意义,-121.0711873369267
回归,-32.586903643830794
经理,-146.54946537498523
存在,-151.21781802228048
盘口,-47.84963672784045
确实,-144.9383934414853
时刻,-78.04734013882745
力量,-75.62249051008052
锂电池,154.1376926786554
资源,133.64870481592544
接近,38.405699419894574
下方,-59.9377974832762
箱体,23.651643425067277
平台,-19.12396403410611
今天下午,-107.01030156500485
深圳,156.45995093411943
高价股,-214.31066721971177
财经,26.752286676382624
运行,-58.482748938108045
通道,-50.46198837101622
直线,-153.7117969956347
全球股市,-167.30906914504067
最多,-170.94037754537942
点评,196.27071489568075
比亚迪,41.83793695722653
代表,26.62875460926233
区域,107.39692926889
考验,-43.32431618842804
贵州,11.24560408256491
预判,45.87748261530112
变成,-184.87281708124124
发帖,-82.42174156762206
石油,-64.87005802535327
不变,-43.60285339467907
纳入,-107.60602970054936
暂时,-102.80473314870471
几乎,-181.68035896367348
记得,-102.78179899917114
符合,137.74761656990796
新闻,-21.161418601197227
风格,44.966148292806395
化工,260.9766060224261
游戏,-19.731284587644325
办法,-354.6347984937185
基本面,143.09314066924708
盘整,30.91733329795113
报收,57.36743957997447
日记,-74.29224347220824
很快,-79.15310859277366
最高点,-113.27436996674106
九月,45.45932464931428
不停,-198.13124048332122
订单,141.22898956685282
生活,-117.99656916228184
沪市,-59.32893175604511
最终,-161.86067351781156
完毕,-29.038738588064973
买卖,-153.69630705632687
必定,-1.5485775304140361
部分,-342.7796036836936
金龙鱼,8.11062367438194
释放,102.76487340682235
水平,-142.04305165440792
中期,69.95898905518266
月底,-57.757128420569984
选股,3.081163405220991
考虑,-69.11195304957073
打开,-63.77399777496231
动力,86.53279357503709
ETF,121.04086417744088
实现,140.51844490224948
巨大,-46.53643438635021
半导体,32.70805368005847
看盘,-143.36390682540673
手中,-59.0676357111044
正确,-126.23348696095218
地方,-232.20403872784118
规律,-198.4431279277149
宣布,43.270560157831255
主线,179.16920686281142
标准,-43.97114444221012
心里,-245.9123982135211
年报,155.1747015899075
研究,74.02042136714886
可能会,-49.82043208118171
头部,-201.8084991223372
仍然,140.2909032894492
盈亏,26.557436354849386
心情,-106.75399920508619
下半年,93.70936912892739
出局,-218.07129453361682
力度,-45.75764561847126
迹象,-66.51673247144629
大概,-104.54117439630545
前面,-105.60559035545123
加入,-48.59425431755841
落地,102.68177303585418
日本,-38.60102835823841
深证,21.539320439798303
自选,-102.9159485656553
能够,172.23677354993941
振荡,20.962837063122834
重新,12.486009841021598
之间,2.1129140592348676
手机,-29.718374410070453
具有,136.8675657982467
目的,-191.067527549622
成本,-266.1267962695384
说话,-124.10839772518477
能力,10.226786614808987
看法,43.549864013571295
全国,130.69063007305192
建设,287.5388841284828
可能性,-75.6088973249528
新年,136.29627064557445
杠杆,-51.18174264082262
更多,-193.54375383668867
平安,-41.98983305349657
基本上,-183.9769915508988
多数,-380.576767099722
现象,-120.69297711570181
央行,61.124311878325955
新一轮,92.84208541216873
十月,13.275768371632637
午间,-1.0164633847518871
晚间,44.223090238731146
精准,35.45720343293317
产业,311.1813306121868
抓紧,-75.8964260032065
粉丝,101.63682505358543
特斯拉,123.6023129719643
国外,-149.0928791995591
一段时间,0.9426011476343774
自然,-15.18854564227064
带头,-179.08831169090809
算是,-79.24449831808016
支撑位,-62.289748762689385
达到,101.3406530941678
过程,-55.21803140072353
道指,-28.71450814983598
申购,-94.78234581428262
品种,64.0029877482308
七月,-32.63355663992246
不同,-42.6554843935881
开市,-108.02982395815644
私募,-72.02007433485079
尤其,-82.84832750384447
直播,35.13504778523725
酿酒,-45.430458444203964
工作,8.611844644712164
经历,-189.1808857214146
没事,-163.08975730194152
钢材价格,-2.4809174373196754
媒体,-180.88215279917358
面临,-126.54202688391746
产品,217.36457216684144
战略,152.54383385179324
也许,-61.088361541900156
工业,210.06145449421172
最少,-123.35683713810005
前天,-212.9635882713457
季报,126.09946157845039
变化,-21.020450332447922
看见,-154.03630561509772
合力,131.9317723428469
领域,206.21599963968401
每一次,-103.36996331060169
做到,-58.12288173920575
食品,-10.25461555947254
中小板,-68.4642371483925
成立,-40.7323935864909
下星期,-77.23549520629626
切换,37.269257913276476
状态,-184.42901333976675
上面,-241.16761217397976
要求,-102.43045713557859
相关,202.66354777012634
兑现,-77.47509874407848
电池,216.21429833654366
理解,-4.299194659040268
公投,-199.49130441422574
找到,-32.45863803283663
必要,-242.98565980402276
思路,86.1973651507297
幅度,-120.64707391402987
明确,-48.761175676054165
上半年,69.747397143672
旅游,15.093006859223351
休市,-94.18289335786045
消息面,14.204285825689738
思维,-60.29897820418182
基民,-338.16950379907223
平均,-69.3792089663105
产业链,185.05754901088466
生命,-146.77835280663962
建材价格,0.0
最低点,-91.88412586575669
最新,128.9914926825857
寻找,178.53413458744285
因素,26.505831853667416
结构性,74.67158209073813
从来,-248.7931660048551
方法,-18.751406888555664
哪位,-170.8753439184758
系统,-20.28796664759568
星期三,-56.47581278332672
早上好,44.687302380541524
西部,310.7276075865435
顺势,-66.56525004066913
今天上午,-60.40437104994436
有限,-45.33922739355626
量子,111.18841114374675
主题,28.409498200069436
拿着,-118.16565858939072
过后,-87.96259696463835
加大,-144.46266641893249
限制,-121.78278996601335
4月,4.943706971669144
一月,-46.758732516571456
同比,109.59047657777325
同样,-57.19293686813057
形势,-73.3075581015105
意外,-40.730186084981824
资讯,-54.54617775777112
环境,-109.18956925395793
在即,130.71462655958402
表示,-19.52355657048099
引发,-211.73704351989483
运气,-10.025949455050352
大小,-150.00373940255696
没想到,-106.1097604872956
验证,22.041234741104915
华为,245.57932717432095
通信,136.58785862263102
火箭,241.074201420263
我国,192.47946486574995
当下,32.45591649384227
材料,215.89217555635668
跑步,-52.61990306014877
股权,83.03990414321282
智慧,154.45880761474672
苹果,87.66373541984149
五粮液,33.028025673028026
引领,131.49143810097266
工程,153.65814013251926
确立,-0.204744130929555
手上,-276.9293079645123
每年,-111.06364665959319
积分,-97.15619745599145
路上,-136.86472641724288
再度,172.22632311682804
罕见,-31.882298025730705
实际,-127.12397093619296
水泥,95.91128101811148
期间,100.25550638418986
后期,153.11148977259262
方面,152.85609418077212
美联储,-13.504704175122924
礼拜,-173.7212219161329
关闭,-94.11092953006576
管理,29.051428844569443
重回,2.7957190793842983
总体,52.75253478469324
走法,-159.89354510588782
高度,-27.542676324079594
中厚板,0.0
六月,-91.60268704265536
转换,-24.512486175400113
标的,151.48248899014885
香港,-5.121786814820325
证明,-130.5716675542409
没错,-106.57718028017496
黄线,-149.82932594606925
应对,-132.96485144538224
现金,-115.37364284788646
导致,-293.7696122445882
一致,-59.81999468331338
说说,-96.62983047508516
一家,29.811384937206157
组合,62.99037254271383
仅,-55.69846223969455
成交额,-137.44263102795108
图形,-202.6502450031361
股评,-112.027750260056
方式,-107.73707396312852
贵州茅台,-7.030052318881133
只想,-234.69993569562075
临近,-60.178748919277155
起点,113.89645100154607
MACD,-69.01173866109201
人民,7.415986584912957
开通,33.31960677983827
文章,-0.7539961586408026
展望,69.08689785643392
元旦,-35.9520691518577
见证,52.13989921328499
或许,-39.303296028030445
比特币,41.1634273763828
道理,-146.3048399979661
截止,48.90796267870377
中泰,38.01158532536034
带来,130.0564449366081
加快,32.756624551090226
欧盟,-73.48701947000117
业务,151.52884089486338
净利润,92.86166390710125
直奔,-59.60537163833499
药业,234.96825200694866
恒指,-41.09476668669953
支付宝,-75.39739451196743
无聊,-120.54014255461325
技术性,-39.75526241752917
愿意,-205.110598231729
航空,129.38198791119754
中线,132.21117586817928
互联网,199.80949164715778
报告,69.28113600480839
解读,-1.4623203655261534
更新,23.445042483510065
解释,-145.61798186916877
逐渐,179.70450873562532
思考,105.36027492883846
切记,-99.89139054071342
经验,-55.47147052844866
八月,9.283287713666994
当日,61.30788483500638
中金,202.0129613670643
再现,8.916154031222902
打算,-144.9047258823229
阻力,41.51720147825176
南方,88.93186755642984
白线,-182.55215784374482
交易量,-167.7138222967484
逆势,87.01337246993643
条件,71.60359900495297
信不信,-69.41202618918322
上次,-64.38043885245094
有所,118.3784148262049
总资产,32.08888777746153
如期,141.06435886219037
做股票,-68.81748627834958
静待,78.72599116246516
社保,-65.54385687823964
重庆,36.33584641791364
集中,11.425217123205243
股票市场,-110.62063583000332
听说,-76.99363723133143
研判,63.112333949235904
任务,-40.06508889591481
北京,98.03182402535504
早点,-356.8094897845726
交流,20.746870400096924
年年,-76.45728092418858
三月,32.56040135286963
行为,-193.62166275091528
公募,-2.7038865012704605
所有人,-132.71045889938057
监管,-27.686690643635075
现货,-45.19954943446669
后续,85.49088261138735
包括,-49.9654880146507
季度,294.4077116789707
笔记,-3.506611759098945
一句话,-122.34683753328096
换股,-88.03418473851991
稍微,-139.75271853685172
特征,25.121382097199444
商品,-8.657870647336381
宁德,65.33134707189541
深度,17.217594646318105
收盘价,52.74057178880918
京东方,182.59009697813107
问题,-79.94890893441527
相对,68.71207971971012
项目,109.27182948703542
汇总,12.66240352776991
起码,-137.96991815273287
大于,-128.41379132456825
盘子,-105.70349188624454
商业,161.86847810736933
月份,-145.43136484297725
星期二,-32.39746951842511
走向,11.233635139381533
曾经,-16.071802811496184
年初,21.643176406533314
收市,75.33313217182874
国庆节,-72.33841378295199
开门,162.53332755643703
刚才,-117.44261052921405
巴菲特,-11.173897573020952
美国股市,-73.74984770184562
保证,-102.48614284213443
起步,-3.40122939743452
电气,154.49277731424388
地板,-155.3498883447631
联合,-14.176340222700702
流向,-21.157499239138986
供应,127.10112029245393
道琼斯,-89.25346038514442
太阳能,158.71396897316782
经常,-236.71006542346504
买到,46.79962270448078
水电,90.93541876760492
轮到,16.66689645841285
尾声,0.19032328362965245
长假,-180.0050298249845
索罗斯,-168.06905427985305
需求,158.2945741818064
大势,-174.1650576902146
立马,-169.67782132850402
取消,-124.01835538290024
学会,-112.67243731558455
假期,-17.97184212631339
果断,-152.73618663075445
基础,239.55185831913838
早晚,-302.7376890436344
隆基,54.60613256498709
近日,72.81994837354233
懂得,-125.47802964819064
竞价,-98.52510176539079
集合竞价,-58.36371797906037
生态,34.241287466435665
猪肉,45.90973215224824
常态,-204.44900127814424
窄幅,6.490681482845673
清楚,-235.57728026431045
实行,-20.988040085451985
分批,94.10986750118525
强烈,-99.35932911309328
反应,-234.75799067506625
半年线,87.91861520542648
区别,-133.94588949566074
外面,-176.9880294858848
留意,148.16532776496467
面对,-52.63694718168978
当天,-61.4262098251977
具备,106.96479939451251
收到,-17.610802046600156
猜猜,-48.35456896084611
大户,-210.99548999225465
悬念,28.81653887031848
报道,-36.053078322373636
始终,-157.27584607081894
今早,-142.24201797597448
航天,138.13722016493324
认真,18.212679943101307
大事,-84.66691343656368
前两天,-95.94248548544914
产生,-84.6577764354596
沪深股市,79.00360886662028
复制,3.124285231167107
请教,-58.593038644788095
纳指,89.50455599719848
日内,89.23935506556853
理论,32.4160748298649
早间,140.79969037833985
目标价,168.14789912055835
瞬间,-134.35083027934678
一触即发,123.09645304654535
累计,35.98472401975897
下影线,57.1303908983715
统计,57.206069764734536
量价,55.61959560576719
标题,-6.4484782182993285
围绕,138.13617545419896
见到,-105.87692964719241
配置,163.4559164446062
数量,36.32273304037062
算法,16.504171576147087
披露,93.41210682095796
年度,115.47730484716595
展开,88.7153572808549
毕竟,-39.47984457873906
现价,94.1208667949119
推出,39.75131092923036
同意,18.549859081474352
每周,-82.99985996702833
准确,-19.682414438920546
打破,67.70798541162418
个人观点,141.05110528230455
